b14ef77ac1d0b3b77df2b7daad9c5a84b903e5f4|2025-11-05|feat: PostgreSQL migration and full-stack enhancements - Migrated database from MySQL to PostgreSQL with connection pooling - Added Redis caching layer for enhanced API performance - Implemented Alembic for database migrations - Added authentication and audit services - Enhanced frontend with new pages (forecasts, materials, recommendations) - Updated Docker configuration for production deployment - Added comprehensive deployment documentation

 .env.example                                       |    20 +
 backend/node_modules/katex/dist/katex.css          |  1230 ++
 backend/node_modules/katex/dist/katex.js           | 19076 +++++++++++++++++++
 backend/node_modules/katex/dist/katex.min.css      |     1 +
 backend/node_modules/katex/dist/katex.min.js       |     1 +
 backend/node_modules/katex/dist/katex.mjs          | 18541 ++++++++++++++++++
 backend/node_modules/katex/package.json            |   196 +
 backend/node_modules/loose-envify/package.json     |    36 +
 backend/node_modules/object-assign/package.json    |    42 +
 backend/node_modules/prop-types/package.json       |    60 +
 backend/node_modules/react-is/build-info.json      |     8 +
 backend/node_modules/react-is/package.json         |    27 +
 .../react-katex/coverage/coverage-final.json       |     3 +
 .../fonts/OpenSans-Bold-webfont.eot                |   Bin 0 -> 19544 bytes
 .../fonts/OpenSans-Bold-webfont.svg                |  1830 ++
 .../fonts/OpenSans-Bold-webfont.woff               |   Bin 0 -> 22432 bytes
 .../fonts/OpenSans-BoldItalic-webfont.eot          |   Bin 0 -> 20133 bytes
 .../fonts/OpenSans-BoldItalic-webfont.svg          |  1830 ++
 .../fonts/OpenSans-BoldItalic-webfont.woff         |   Bin 0 -> 23048 bytes
 .../fonts/OpenSans-Italic-webfont.eot              |   Bin 0 -> 20265 bytes
 .../fonts/OpenSans-Italic-webfont.svg              |  1830 ++
 .../fonts/OpenSans-Italic-webfont.woff             |   Bin 0 -> 23188 bytes
 .../fonts/OpenSans-Light-webfont.eot               |   Bin 0 -> 19514 bytes
 .../fonts/OpenSans-Light-webfont.svg               |  1831 ++
 .../fonts/OpenSans-Light-webfont.woff              |   Bin 0 -> 22248 bytes
 .../fonts/OpenSans-LightItalic-webfont.eot         |   Bin 0 -> 20535 bytes
 .../fonts/OpenSans-LightItalic-webfont.svg         |  1835 ++
 .../fonts/OpenSans-LightItalic-webfont.woff        |   Bin 0 -> 23400 bytes
 .../fonts/OpenSans-Regular-webfont.eot             |   Bin 0 -> 19836 bytes
 .../fonts/OpenSans-Regular-webfont.svg             |  1831 ++
 .../fonts/OpenSans-Regular-webfont.woff            |   Bin 0 -> 22660 bytes
 .../react-katex/dist/react-katex.d.ts/global.html  |   555 +
 .../react-katex/dist/react-katex.d.ts/index.html   |    65 +
 .../dist/react-katex.d.ts/index.jsx.html           |   142 +
 .../dist/react-katex.d.ts/scripts/linenumber.js    |    25 +
 .../scripts/prettify/Apache-License-2.0.txt        |   202 +
 .../react-katex.d.ts/scripts/prettify/lang-css.js  |     2 +
 .../react-katex.d.ts/scripts/prettify/prettify.js  |    28 +
 .../dist/react-katex.d.ts/styles/jsdoc-default.css |   358 +
 .../react-katex.d.ts/styles/prettify-jsdoc.css     |   111 +
 .../react-katex.d.ts/styles/prettify-tomorrow.css  |   132 +
 .../node_modules/react-katex/dist/react-katex.js   |   174 +
 .../react-katex/dist/react-katex.js.map            |     1 +
 backend/node_modules/react-katex/package.json      |    58 +
 backend/node_modules/react/package.json            |    51 +
 backend/package-lock.json                          |   110 +
 backend/package.json                               |     6 +
 backend/requirements.txt                           |    91 +-
 backend/requirements_deployment.txt                |    99 +-
 backend/scripts/generate_demo_data.py              |   277 +
 backend/services/audit_service.py                  |   160 +
 backend/services/auth_service.py                   |   124 +
 backend/services/database_service.py               |   315 +-
 backend/utils/password_utils.py                    |    34 +
 docker-compose.prod.yml                            |   180 +-
 docker-compose.yml                                 |   115 +-
 docs/proj/diagrams/Project.md                      |  2349 +++
 ...aria-de-dados-anamnese-e-plano-6daf2502.plan.md |   102 +
 frontend/Dockerfile                                |    36 +
 frontend/next.config.js                            |    25 +-
 frontend/package.json                              |    58 +-
 frontend/src/app/forecasts/page.tsx                |   160 +
 frontend/src/app/globals.css                       |    25 +
 frontend/src/app/layout-old.tsx                    |    26 +
 frontend/src/app/layout.tsx                        |    81 +-
 frontend/src/app/materials/[itemId]/page.tsx       |   132 +
 frontend/src/app/materials/layout.tsx              |    13 +
 frontend/src/app/materials/page.tsx                |   180 +
 frontend/src/app/navigation.tsx                    |    46 +
 frontend/src/app/page.tsx                          |   141 +-
 frontend/src/app/recommendations/page.tsx          |   199 +
 frontend/src/app/root-layout.tsx                   |    26 +
 frontend/src/components/AlertList.tsx              |    61 +
 frontend/src/components/KpiCard.tsx                |    64 +-
 frontend/src/components/charts/DemandChart.tsx     |    61 +
 .../src/components/charts/DemandTrendChart.tsx     |    82 +
 frontend/src/components/charts/ForecastChart.tsx   |    77 +
 frontend/src/components/charts/InventoryChart.tsx  |    82 +
 frontend/src/components/ui/alert.tsx               |    62 +
 frontend/src/components/ui/card.tsx                |    80 +
 frontend/src/components/ui/tabs.tsx                |    54 +
 frontend/src/lib/api.ts                            |   684 +-
 frontend/src/lib/utils.ts                          |     7 +
 frontend/tsconfig.json                             |    34 +-
 185 files changed, 72008 insertions(+), 2016 deletions(-)
